"","player_name","ba","babip","slg","woba","launch_speed","spin_rate","whiffs","K.9","BB.9","HR.9","FIP","ERAm","WPA","SIERA","WAR"
"1","Aaron Sanchez",0.262,0.304,0.407,0.337,84.9,2272,189,7.37,4.97,0.94,4.74,115,-0.68,5.1,0.6
"2","Anthony DeSclafani",0.266,0.298,0.479,0.336,84,2127,192,8.45,2.35,1.88,4.83,120,-0.73,3.96,0.8
"3","Brent Suter",0.258,0.286,0.456,0.321,79,2113,181,7.42,1.71,1.52,4.38,112,-0.78,4.14,0.9
"4","Carlos Martinez",0.228,0.296,0.314,0.292,81.1,2120,231,8.79,4.4,0.45,3.65,87,1.43,4.45,2.2
"5","Carlos Rodon",0.22,0.243,0.376,0.309,83,2228,190,6.71,4.1,1.12,4.95,99,0.32,5.13,0.8
"6","Chad Bettis",0.265,0.284,0.454,0.339,84.2,1819,178,6.28,3.72,1.4,5.14,113,0.52,4.93,0.3
"7","Clay Buchholz",0.22,0.256,0.353,0.269,83.6,2169,148,7.41,2.01,0.82,3.47,49,2.25,4.08,1.7
"8","Daniel Mengden",0.234,0.241,0.42,0.3,84.1,2146,154,5.63,1.88,1.59,4.9,108,0.18,4.73,0.6
"9","David Hess",0.262,0.269,0.488,0.35,83,2151,159,6.28,3.23,1.88,5.77,113,-0.63,5.08,0
"10","Dereck Rodriguez",0.223,0.259,0.376,0.289,84.1,2120,185,6.59,2.65,0.72,3.81,74,1.5,4.58,1.8
"11","Edwin Jackson",0.221,0.242,0.386,0.3,83,2252,142,6.65,3.62,1.17,4.65,80,0.32,4.98,0.8
"12","Felix Pena",0.247,0.29,0.392,0.304,84.6,2322,165,8.3,2.8,1,3.83,97,0.3,4.08,1.4
"13","Homer Bailey",0.313,0.331,0.541,0.377,83.8,1882,177,6.35,2.79,1.95,5.55,149,-3.19,4.82,-0.1
"14","Jason Vargas",0.276,0.313,0.481,0.351,82,2297,181,8.22,2.93,1.76,5.02,153,-0.79,4.32,0.2
"15","Jeremy Hellickson",0.23,0.254,0.389,0.294,83,2220,124,6.41,1.97,1.08,4.22,84,0.98,4.33,1.2
"16","Joe Musgrove",0.253,0.297,0.389,0.296,83.7,2305,205,7.8,1.79,0.94,3.59,103,-0.44,3.93,2.2
"17","John Gant",0.216,0.255,0.336,0.286,83.1,2207,229,7.49,4.44,0.74,4.11,92,0.93,4.88,1.2
"18","Marcus Stroman",0.283,0.328,0.416,0.33,84.6,2423,167,6.77,3.17,0.79,3.91,130,-1,4.04,1.4
"19","Mike Montgomery",0.272,0.311,0.391,0.315,83.3,1971,194,6.45,2.58,0.74,3.84,92,0.59,4.44,1.5
"20","Nathan Eovaldi",0.246,0.288,0.403,0.293,83.3,2134,211,8.13,1.51,1.17,3.64,88,0.26,3.71,2.2
"21","Ross Stripling",0.257,0.324,0.431,0.309,82.4,2313,244,10.07,1.35,1.52,3.6,88,1.45,3.13,2.1
"22","Ryan Borucki",0.256,0.294,0.387,0.305,83.2,2175,138,6.17,3.04,0.65,3.8,91,-0.38,4.8,1.6
"23","Shane Bieber",0.285,0.356,0.467,0.336,84.8,2204,221,9.57,1.72,0.9,2.96,96,0.18,3.45,2.7
"24","Trevor Cahill",0.227,0.281,0.348,0.289,84.1,2172,216,8.32,3.4,0.68,3.54,94,0.01,4.06,2
"25","Tyler Chatwood",0.245,0.291,0.371,0.351,83.1,2441,167,7.69,8.25,0.84,5.61,128,-1.46,6.28,-0.4
"26","Yovani Gallardo",0.289,0.311,0.495,0.371,84.5,2116,118,5.48,4.21,1.27,5.25,126,-0.78,5.55,0.4
